"id","X","Y","Unique_Squirrel_ID","Shift","Date","Age","Primary_Fur_Color","Location","Specific_Location","Running","Chasing","Climbing","Eating","Foraging","Other_Activities","Kuks","Quaas","Moans","Tail_flags","Tail_twitches","Approaches","Indifferent","Runs_from"
"1","-73.95613449378610","40.79408238840860","37F-PM-1014-03","PM","2018-10-14","","","","","False","False","False","False","False","","False","False","False","False","False","False","False","False"
"2","-73.95704377176910","40.79485094080390","37E-PM-1006-03","PM","2018-10-06","Adult","Gray","Ground Plane","","True","False","False","False","False","","False","False","False","False","False","False","False","True"
"3","-73.97683117510040","40.76671780725580","2E-AM-1010-03","AM","2018-10-10","Adult","Cinnamon","Above Ground","","False","False","True","False","False","","False","False","False","False","False","False","True","False"
"4","-73.97572498341410","40.76970326067550","5D-PM-1018-05","PM","2018-10-18","Juvenile","Gray","Above Ground","","False","False","True","False","False","","False","False","False","False","False","False","False","True"
"5","-73.95931266957140","40.79753337016300","39B-AM-1018-01","AM","2018-10-18","","","Above Ground","","False","False","False","False","False","unknown","True","False","False","False","False","False","False","False"
"6","-73.95657003861620","40.79025610009370","33H-AM-1019-02","AM","2018-10-19","Juvenile","Gray","Ground Plane","","False","False","False","False","False","wrestling with mother","False","False","False","False","False","False","False","False"
"7","-73.97197355824760","40.76930451335780","6G-PM-1020-02","PM","2018-10-20","Adult","Gray","Ground Plane","","True","True","False","False","False","","False","False","False","False","False","False","True","False"
"8","-73.96026099208140","40.79428830455660","35C-PM-1013-03","PM","2018-10-13","","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","False","True"
"9","-73.97707185867540","40.77297523914350","7B-AM-1008-09","AM","2018-10-08","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"10","-73.95964139039480","40.79031288890290","32E-PM-1017-14","PM","2018-10-17","Adult","Gray","","","False","False","False","True","True","","False","False","False","False","False","False","False","True"
"11","-73.97026764726130","40.77621268548940","13E-AM-1017-05","AM","2018-10-17","Adult","Gray","Above Ground","on tree stump","False","False","False","False","True","","False","False","False","False","False","False","False","False"
"12","-73.96836135162250","40.77259088474990","11H-AM-1010-03","AM","2018-10-10","Adult","Cinnamon","","","False","False","False","False","True","","False","False","False","False","True","False","True","False"
"13","-73.95412017897950","40.79318117010820","36H-AM-1010-02","AM","2018-10-10","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","False","False"
"14","-73.95826943122890","40.79173678202550","33F-AM-1008-02","AM","2018-10-08","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"15","-73.96742859552930","40.78297239197440","21C-PM-1006-01","PM","2018-10-06","Adult","Gray","Ground Plane","","False","False","False","False","False","","False","False","False","True","True","False","False","False"
"16","-73.97225001968440","40.77428795990260","11D-AM-1010-03","AM","2018-10-10","Adult","Gray","Above Ground","","False","False","True","False","False","grooming","False","False","False","False","False","False","True","False"
"17","-73.96950635353330","40.78235076781830","20B-PM-1013-05","PM","2018-10-13","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"18","-73.95321705048650","40.79196697399620","36I-PM-1007-01","PM","2018-10-07","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"19","-73.97686036306740","40.77027959049620","5C-PM-1010-09","PM","2018-10-10","Adult","Cinnamon","Ground Plane","","True","False","False","False","False","","False","False","False","False","False","False","False","False"
"20","-73.97061058969670","40.76981248215070","7H-AM-1006-05","AM","2018-10-06","Adult","Gray","Above Ground","","False","True","False","False","False","","False","False","False","False","False","False","True","False"
"21","-73.97037817261720","40.77875261303210","16C-PM-1018-03","PM","2018-10-18","Adult","Gray","Above Ground","","True","False","False","True","True","","False","False","False","False","False","False","True","False"
